cod;nome;período;valor
41;PR;2004;1256
43;RS;2004;918
29;BA;2004;1040
52;GO;2004;623
51;MT;2004;250
50;MS;2004;230
23;CE;2004;535
24;RN;2004;137
25;PB;2004;261
29;BA;2005;1380
28;SE;2005;187
27;AL;2005;537
26;PE;2005;2258
25;PB;2005;317
24;RN;2005;175
23;CE;2005;633
22;PI;2005;107
53;DF;2005;324
52;GO;2005;640
21;MA;2005;282
11;RO;2005;181
12;AC;2005;19
13;AM;2005;166
14;RR;2005;13
15;PA;2005;714
16;AP;2005;33
17;TO;2005;42
51;MT;2005;274
50;MS;2005;212
43;RS;2005;908
42;SC;2005;253
41;PR;2005;1360
35;SP;2005;3605
33;RJ;2005;3788
32;ES;2005;731
31;MG;2005;2087
21;MA;2006;274
53;DF;2006;311
52;GO;2006;612
22;PI;2006;124
51;MT;2006;287
50;MS;2006;236
43;RS;2006;859
42;SC;2006;242
41;PR;2006;1397
17;TO;2006;58
16;AP;2006;50
15;PA;2006;780
14;RR;2006;19
13;AM;2006;241
12;AC;2006;24
11;RO;2006;191
23;CE;2006;658
24;RN;2006;194
25;PB;2006;380
26;PE;2006;2247
27;AL;2006;825
28;SE;2006;246
29;BA;2006;1590
31;MG;2006;2036
32;ES;2006;792
33;RJ;2006;3603
35;SP;2006;3506
13;AM;2007;267
14;RR;2007;14
15;PA;2007;879
21;MA;2007;369
27;AL;2007;959
28;SE;2007;218
26;PE;2007;2323
25;PB;2007;377
24;RN;2007;255
23;CE;2007;765
22;PI;2007;116
17;TO;2007;39
16;AP;2007;45
42;SC;2007;255
43;RS;2007;1001
50;MS;2007;235
51;MT;2007;255
52;GO;2007;659
53;DF;2007;360
35;SP;2007;2465
33;RJ;2007;3166
32;ES;2007;827
31;MG;2007;1948
29;BA;2007;1813
11;RO;2007;169
12;AC;2007;33
41;PR;2007;1485
29;BA;2008;2579
11;RO;2008;142
12;AC;2008;31
13;AM;2008;292
14;RR;2008;12
31;MG;2008;1801
21;MA;2008;433
53;DF;2008;398
52;GO;2008;748
51;MT;2008;301
50;MS;2008;235
43;RS;2008;1069
42;SC;2008;324
41;PR;2008;1617
35;SP;2008;2234
33;RJ;2008;2681
32;ES;2008;942
15;PA;2008;1181
16;AP;2008;49
17;TO;2008;64
22;PI;2008;100
23;CE;2008;814
24;RN;2008;331
25;PB;2008;455
26;PE;2008;2170
27;AL;2008;1023
28;SE;2008;237
41;PR;2009;1717
11;RO;2009;177
13;AM;2009;364
14;RR;2009;13
27;AL;2009;972
28;SE;2009;244
29;BA;2009;3022
31;MG;2009;1672
32;ES;2009;980
33;RJ;2009;2453
35;SP;2009;2190
42;SC;2009;328
43;RS;2009;912
50;MS;2009;249
51;MT;2009;322
52;GO;2009;747
12;AC;2009;36
15;PA;2009;1253
16;AP;2009;43
17;TO;2009;68
21;MA;2009;464
22;PI;2009;128
23;CE;2009;937
24;RN;2009;382
25;PB;2009;613
26;PE;2009;1945
53;DF;2009;457
27;AL;2010;1119
28;SE;2010;268
29;BA;2010;3028
31;MG;2010;1558
32;ES;2010;881
33;RJ;2010;2590
35;SP;2010;1999
41;PR;2010;1653
42;SC;2010;270
43;RS;2010;838
52;GO;2010;811
53;DF;2010;382
50;MS;2010;203
51;MT;2010;314
11;RO;2010;165
12;AC;2010;37
13;AM;2010;410
14;RR;2010;12
15;PA;2010;1478
16;AP;2010;72
17;TO;2010;74
21;MA;2010;499
22;PI;2010;122
23;CE;2010;1228
24;RN;2010;353
25;PB;2010;735
26;PE;2010;1628
50;MS;2011;204
52;GO;2011;947
53;DF;2011;409
14;RR;2011;10
15;PA;2011;1305
16;AP;2011;54
17;TO;2011;80
21;MA;2011;528
22;PI;2011;157
23;CE;2011;1263
24;RN;2011;485
25;PB;2011;822
11;RO;2011;133
12;AC;2011;27
13;AM;2011;594
26;PE;2011;1548
27;AL;2011;1179
28;SE;2011;295
29;BA;2011;2712
31;MG;2011;1864
32;ES;2011;892
33;RJ;2011;2005
35;SP;2011;1824
41;PR;2011;1458
42;SC;2011;293
43;RS;2011;875
51;MT;2011;342
29;BA;2012;3118
24;RN;2012;546
25;PB;2012;772
27;AL;2012;1100
26;PE;2012;1460
23;CE;2012;2037
22;PI;2012;194
21;MA;2012;666
17;TO;2012;101
16;AP;2012;81
15;PA;2012;1336
14;RR;2012;18
13;AM;2012;515
12;AC;2012;50
11;RO;2012;167
53;DF;2012;439
52;GO;2012;1202
51;MT;2012;399
50;MS;2012;185
43;RS;2012;952
42;SC;2012;300
41;PR;2012;1524
35;SP;2012;2155
33;RJ;2012;2048
32;ES;2012;874
31;MG;2012;2063
28;SE;2012;386
25;PB;2013;771
12;AC;2013;60
51;MT;2013;415
53;DF;2013;384
26;PE;2013;1362
27;AL;2013;1180
28;SE;2013;433
29;BA;2013;2863
31;MG;2013;2206
32;ES;2013;875
33;RJ;2013;2202
35;SP;2013;1847
41;PR;2013;1234
42;SC;2013;257
43;RS;2013;937
50;MS;2013;156
