cod;nome;período;valor
31;MG;1994;74
32;ES;1994;41
33;RJ;1994;181
35;SP;1994;369
41;PR;1994;54
42;SC;1994;19
43;RS;1994;56
50;MS;1994;24
51;MT;1994;4
52;GO;1994;36
53;DF;1994;21
16;AP;1995;2
14;RR;1995;5
13;AM;1995;21
12;AC;1995;5
11;RO;1995;10
15;PA;1995;21
53;DF;1995;29
52;GO;1995;54
51;MT;1995;33
50;MS;1995;18
43;RS;1995;64
42;SC;1995;20
41;PR;1995;71
35;SP;1995;456
33;RJ;1995;214
32;ES;1995;57
31;MG;1995;52
29;BA;1995;57
28;SE;1995;11
27;AL;1995;29
26;PE;1995;96
25;PB;1995;37
24;RN;1995;9
23;CE;1995;18
22;PI;1995;9
21;MA;1995;19
17;TO;1995;4
16;AP;1996;11
31;MG;1996;77
29;BA;1996;83
28;SE;1996;13
27;AL;1996;32
32;ES;1996;54
33;RJ;1996;248
35;SP;1996;431
41;PR;1996;77
42;SC;1996;28
43;RS;1996;84
50;MS;1996;33
51;MT;1996;39
52;GO;1996;55
53;DF;1996;27
26;PE;1996;84
25;PB;1996;43
24;RN;1996;15
23;CE;1996;36
22;PI;1996;2
21;MA;1996;14
17;TO;1996;5
15;PA;1996;38
14;RR;1996;9
13;AM;1996;16
12;AC;1996;7
11;RO;1996;16
17;TO;1997;7
28;SE;1997;9
29;BA;1997;80
31;MG;1997;69
32;ES;1997;58
33;RJ;1997;243
35;SP;1997;502
41;PR;1997;67
42;SC;1997;17
43;RS;1997;71
50;MS;1997;22
51;MT;1997;34
52;GO;1997;32
53;DF;1997;21
27;AL;1997;33
26;PE;1997;98
25;PB;1997;21
24;RN;1997;10
23;CE;1997;33
22;PI;1997;4
11;RO;1997;17
12;AC;1997;4
13;AM;1997;19
14;RR;1997;5
15;PA;1997;27
16;AP;1997;5
21;MA;1997;17
41;PR;1998;69
53;DF;1998;27
52;GO;1998;24
51;MT;1998;44
50;MS;1998;38
43;RS;1998;75
42;SC;1998;28
35;SP;1998;518
33;RJ;1998;223
32;ES;1998;64
31;MG;1998;81
29;BA;1998;39
28;SE;1998;3
27;AL;1998;26
26;PE;1998;122
25;PB;1998;24
24;RN;1998;9
23;CE;1998;27
22;PI;1998;8
21;MA;1998;13
17;TO;1998;10
16;AP;1998;5
15;PA;1998;28
14;RR;1998;5
13;AM;1998;33
12;AC;1998;4
11;RO;1998;20
32;ES;1999;63
33;RJ;1999;225
35;SP;1999;529
41;PR;1999;64
42;SC;1999;19
43;RS;1999;68
50;MS;1999;24
51;MT;1999;33
52;GO;1999;50
53;DF;1999;31
28;SE;1999;18
13;AM;1999;24
12;AC;1999;4
11;RO;1999;16
27;AL;1999;21
26;PE;1999;130
25;PB;1999;13
24;RN;1999;6
23;CE;1999;34
22;PI;1999;4
21;MA;1999;7
16;AP;1999;11
15;PA;1999;16
14;RR;1999;4
29;BA;1999;33
17;TO;1999;11
31;MG;1999;98
12;AC;2000;9
22;PI;2000;7
23;CE;2000;43
